LR,lrDrop, Grad
0.35,0.70,42
0.03,0.70,275
0.06,0.70,150
0.10,0.70,99
0.13,0.70,81
0.16,0.70,69
0.19,0.70,62
0.21,0.70,58
0.23,0.70,54
0.26,0.70,50
0.29,0.70,47
0.32,0.70,44
0.37,0.70,40
0.42,0.70,37
0.45,0.70,36
0.50,0.70,32
0.53,0.70,33
0.58,0.70,35
0.61,0.70,36
0.64,0.70,38
0.68,0.70,40
0.70,0.70,42
0.72,0.70,43
0.76,0.70,46
0.79,0.70,50
0.85,0.70,62
0.91,0.70,88
0.95,0.70,138
0.95,0.20,138
0.06,0.20,150
0.11,0.20,92
0.16,0.20,69
0.23,0.20,54
0.27,0.20,49
0.34,0.20,42
0.41,0.20,38
0.48,0.20,34
0.56,0.20,35
0.62,0.20,37
0.68,0.20,40
0.75,0.20,45
0.88,0.20,72
0.94,0.20,120
0.94,0.30,120
0.46,0.30,35
0.20,0.30,59
0.09,0.30,107
0.67,0.30,40
0.82,0.30,55
0.82,0.40,55
0.91,0.40,88
0.60,0.40,35
0.42,0.40,37
0.33,0.40,43
0.24,0.40,53
0.15,0.40,73
0.09,0.40,107
0.05,0.40,175
0.05,0.60,175
0.61,0.60,36
0.75,0.60,45
0.80,0.60,51
0.87,0.60,68
0.92,0.60,96
0.94,0.60,120
0.94,1.00,120
0.83,1.00,57
0.73,1.00,44
0.60,1.00,35
0.49,1.00,33
0.36,1.00,41
0.24,1.00,53
0.13,1.00,81
0.06,1.00,150
